nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf,label
0.46231815,0.64379156,0.7128541,0.47498015,0.6687227,0.57620245,0.47651377,0.6710111,0.6690548,0.45369706,0.7184467,0.6044006,0.45723403,0.72828466,0.71278095,0.35766205,0.7154261,0.76397866,0.3589339,0.7195236,0.7738968,0.4880122,0.8229868,0.6090302,0.53018403,0.82788765,0.88723564,0.5729318,0.93048733,0.74189824,0.64466596,0.9644379,0.63612777,0.17242032,0.4249462,0.38657302,0.16121672,0.4358258,0.29948395,0.36347514,0.28570002,0.66901064,0.34693015,0.26970884,0.73722714,0.54049057,0.17440158,0.55082685,0.5740006,0.118054874,0.82953256,downdog
0.66483855,0.42269525,0.5689707,0.66668034,0.40293851,0.7738734,0.6639867,0.40270042,0.8132658,0.6351411,0.36853814,0.60586077,0.6298849,0.36902374,0.701617,0.5799874,0.39390618,0.858105,0.5683637,0.4017942,0.74017584,0.702672,0.32287169,0.745651,0.670482,0.3380574,0.7128655,0.7798941,0.22677155,0.65032315,0.72409916,0.2716234,0.55925196,0.36889145,0.56674194,0.86779004,0.36542583,0.5675243,0.7540982,0.5521847,0.69006777,0.811822,0.5499515,0.6872987,0.8673202,0.728422,0.81964904,0.7778022,0.70062673,0.7915012,0.7086402,downdog
0.46043107,0.4664609,0.51614666,0.4626147,0.4476699,0.64607996,0.46055174,0.44774866,0.69764584,0.42922583,0.43515778,0.7794075,0.4295672,0.43801895,0.72809297,0.40244827,0.48330924,0.82213503,0.387978,0.48057228,0.68363583,0.48091736,0.36668402,0.49548626,0.4664107,0.3683517,0.6256372,0.51417065,0.27179503,0.51944596,0.50391984,0.27011025,0.5776658,0.30641875,0.7389112,0.73283494,0.30102634,0.72183895,0.6133285,0.49272156,0.81697583,0.6949646,0.49484468,0.79356545,0.872526,0.650773,0.90063095,0.83130294,0.6210578,0.8407282,0.84079784,downdog
0.6194885,0.44712946,0.5947641,0.62937593,0.42812604,0.8289958,0.6271387,0.42908293,0.8620348,0.60488206,0.38465115,0.61023337,0.6038976,0.3868275,0.550722,0.5171866,0.39301062,0.8030406,0.5170601,0.40199462,0.6107819,0.64106584,0.29604143,0.8214407,0.6368743,0.30528674,0.90875524,0.72040063,0.17756878,0.8778468,0.6944855,0.1994897,0.5684894,0.28204575,0.554221,0.588271,0.27700782,0.54963034,0.7263678,0.49109137,0.703565,0.74170285,0.49307334,0.7044891,0.838663,0.679271,0.8419005,0.7880065,0.6637192,0.8201715,0.87732935,downdog
0.61755633,0.49584705,0.48701346,0.62706876,0.51131046,0.50063384,0.6299952,0.51212883,0.5010543,0.60266125,0.5377633,0.68668973,0.60690564,0.5404333,0.6069445,0.51764566,0.5421776,0.7983099,0.5586214,0.5162699,0.62746936,0.57868505,0.6003813,0.75382733,0.6275567,0.5852414,0.8810385,0.63172984,0.66819906,0.775188,0.6829971,0.6767599,0.7343801,0.3221761,0.33314076,0.6596799,0.34096816,0.32488722,0.52529734,0.50035214,0.23975946,0.65060097,0.5092169,0.23234302,0.7157432,0.60541207,0.18436094,0.76191235,0.6333488,0.15445095,0.58170635,downdog
0.78528315,0.47119233,0.5699275,0.79332054,0.45149866,0.48253375,0.79368544,0.45142883,0.61769736,0.7687615,0.42460135,0.6997202,0.77318543,0.42314202,0.57572925,0.7286562,0.43219686,0.7758028,0.7262012,0.4171137,0.715414,0.8249562,0.38930133,0.4449058,0.8114247,0.37843147,0.46172678,0.8813714,0.30134207,0.66776735,0.868151,0.29234663,0.7413365,0.5284718,0.57807976,0.8709958,0.52780086,0.57809097,0.7678389,0.69664264,0.6241226,0.3462745,0.69311744,0.6494566,0.607859,0.8390535,0.7085044,0.60193646,0.82646453,0.7154554,0.7789771,downdog
0.6439812,0.46455613,0.59603524,0.6487497,0.44863263,0.46753502,0.6489968,0.45140982,0.6403897,0.6316287,0.42996794,0.63800913,0.631591,0.4214199,0.4811597,0.60123754,0.43379337,0.59359556,0.598869,0.43635628,0.59598887,0.68493235,0.36910605,0.34012794,0.6630302,0.3839943,0.5381769,0.713287,0.31387758,0.556343,0.7075372,0.3165717,0.5441196,0.44676864,0.5511644,0.83662915,0.4468776,0.548657,0.75255716,0.5686906,0.63413024,0.5869092,0.570841,0.62907636,0.6047803,0.6810276,0.7009709,0.70761645,0.6748988,0.6878897,0.71894693,downdog
0.58153397,0.6920791,0.40973452,0.58495146,0.7037462,0.53788024,0.59824544,0.6915637,0.47579336,0.5646891,0.71856964,0.5892643,0.5726824,0.6941252,0.5691422,0.49205992,0.7487719,0.7093915,0.5175007,0.6691247,0.6392393,0.5787799,0.8079474,0.6845657,0.63185686,0.6724789,0.49602863,0.6313687,0.8761353,0.685251,0.7073439,0.7208274,0.79032093,0.3287708,0.64157003,0.7277921,0.34121144,0.584219,0.7747584,0.48506415,0.66387045,0.120611794,0.46028563,0.4719294,0.63846636,0.41821545,0.063633546,0.46533215,0.5513094,0.40650973,0.5068053,downdog
0.5989343,0.40336916,0.59975094,0.5972208,0.3857169,0.61538893,0.59366107,0.38842618,0.7841938,0.5612847,0.37520963,0.6550863,0.5612179,0.37300372,0.52117026,0.5221393,0.4124175,0.80980116,0.5096773,0.4074742,0.7308879,0.6151228,0.3175434,0.7371419,0.59692854,0.32423967,0.80329937,0.6849822,0.22891313,0.59713894,0.65873075,0.24904822,0.6805819,0.35310557,0.5910514,0.84657127,0.3493822,0.58829445,0.7544829,0.51096886,0.6764072,0.7502782,0.51077545,0.6731041,0.68422127,0.65159273,0.76812786,0.8608415,0.6375521,0.7533527,0.86011416,downdog
0.61160487,0.3794567,0.6633497,0.60545415,0.36564273,0.6139286,0.6025203,0.36427394,0.6429516,0.5695072,0.3485533,0.8707053,0.57090336,0.34757632,0.8050122,0.5313986,0.375655,0.83272123,0.52198833,0.38491482,0.7583903,0.63730294,0.28765687,0.76752263,0.6304903,0.2893064,0.61654395,0.71092474,0.19252981,0.74007493,0.7027867,0.19645347,0.8167155,0.29691234,0.6174392,0.91243064,0.29789257,0.6093356,0.7532027,0.49829856,0.7423346,0.8392976,0.4976932,0.74178404,0.8397979,0.66877073,0.8576492,0.74836475,0.64732647,0.84314734,0.7457463,downdog
